Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
crates/orpheus-dsp/src/command.rs                 188                 0   100.00%          30                 0   100.00%         155                 0   100.00%           0                 0         -
crates/orpheus-dsp/src/effects/delay.rs            75                14    81.33%           5                 1    80.00%          52                 8    84.62%           0                 0         -
crates/orpheus-dsp/src/effects/mod.rs              50                11    78.00%           4                 1    75.00%          30                 6    80.00%           0                 0         -
crates/orpheus-dsp/src/effects/reverb.rs          161                23    85.71%          19                 4    78.95%         123                21    82.93%           0                 0         -
crates/orpheus-dsp/src/engine.rs                  852                68    92.02%          80                16    80.00%         583                40    93.14%           0                 0         -
crates/orpheus-dsp/src/offline.rs                 557               136    75.58%          34                15    55.88%         359                84    76.60%           0                 0         -
crates/orpheus-dsp/src/routing.rs                 689               104    84.91%         102                20    80.39%         588                90    84.69%           0                 0         -
crates/orpheus-dsp/src/sample.rs                  142                30    78.87%          16                 5    68.75%          97                20    79.38%           0                 0         -
crates/orpheus-dsp/src/sample_bank.rs             515               130    74.76%          35                 7    80.00%         318                74    76.73%           0                 0         -
crates/orpheus-dsp/src/sample_manifest.rs         880                50    94.32%          43                 4    90.70%         552                18    96.74%           0                 0         -
crates/orpheus-dsp/src/scheduler.rs               142                10    92.96%          14                 2    85.71%         100                 2    98.00%           0                 0         -
crates/orpheus-dsp/src/synth/filter.rs             78                 5    93.59%           5                 0   100.00%          49                 4    91.84%           0                 0         -
crates/orpheus-dsp/src/synth/gain.rs                8                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
crates/orpheus-dsp/src/synth/math.rs               19                 4    78.95%           5                 1    80.00%          19                 4    78.95%           0                 0         -
crates/orpheus-dsp/src/synth/mix.rs                20                 2    90.00%           4                 1    75.00%          11                 1    90.91%           0                 0         -
crates/orpheus-dsp/src/synth/nonlinear.rs          22                 2    90.91%           3                 0   100.00%          12                 1    91.67%           0                 0         -
crates/orpheus-dsp/src/synth/osc.rs               158                 5    96.84%          16                 0   100.00%          97                 3    96.91%           0                 0         -
crates/orpheus-dsp/src/synth/voice.rs              59                 0   100.00%           3                 0   100.00%          32                 0   100.00%           0                 0         -
crates/orpheus-dsp/src/voice.rs                   407                94    76.90%          27                 4    85.19%         296                73    75.34%           0                 0         -
crates/orpheus-lang/src/ascii_roll.rs             159                14    91.19%           5                 1    80.00%          74                 9    87.84%           0                 0         -
crates/orpheus-lang/src/ast.rs                    263                 0   100.00%          16                 0   100.00%         125                 0   100.00%           0                 0         -
crates/orpheus-lang/src/builtins.rs              2136               375    82.44%         172                62    63.95%        1452               307    78.86%           0                 0         -
crates/orpheus-lang/src/diagnostics.rs             45                 0   100.00%           9                 0   100.00%          36                 0   100.00%           0                 0         -
crates/orpheus-lang/src/eval.rs                  1680               193    88.51%         121                12    90.08%        1006                99    90.16%           0                 0         -
crates/orpheus-lang/src/export.rs                 786                65    91.73%          43                 2    95.35%         427                22    94.85%           0                 0         -
crates/orpheus-lang/src/html.rs                   287                25    91.29%           6                 1    83.33%         145                16    88.97%           0                 0         -
crates/orpheus-lang/src/loader.rs                 233                65    72.10%          12                 5    58.33%         143                55    61.54%           0                 0         -
crates/orpheus-lang/src/mixer.rs                  461                47    89.80%          35                 9    74.29%         337                30    91.10%           0                 0         -
crates/orpheus-lang/src/parser.rs                 598                98    83.61%          41                 5    87.80%         373                58    84.45%           0                 0         -
crates/orpheus-lang/src/pitch.rs                  148                23    84.46%          15                 2    86.67%         103                23    77.67%           0                 0         -
crates/orpheus-lang/src/repl.rs                   105                26    75.24%           4                 2    50.00%          56                 9    83.93%           0                 0         -
crates/orpheus-lang/src/session.rs               2362               255    89.20%         166                58    65.06%        1259               150    88.09%           0                 0         -
crates/orpheus-lang/src/svg.rs                    298                27    90.94%           5                 0   100.00%         156                20    87.18%           0                 0         -
crates/orpheus-lang/src/tui.rs                   3068               175    94.30%         175                24    86.29%        1772               119    93.28%           0                 0         -
crates/orpheus-lang/src/types/env.rs              501                 0   100.00%          22                 0   100.00%         257                 0   100.00%           0                 0         -
crates/orpheus-lang/src/types/infer.rs            714                84    88.24%          34                 3    91.18%         334                39    88.32%           0                 0         -
crates/orpheus-lang/src/types/mod.rs              193                 3    98.45%          14                 0   100.00%          95                 0   100.00%           0                 0         -
crates/orpheus-lang/src/value.rs                 3442               530    84.60%         259                50    80.69%        2367               383    83.82%           0                 0         -
crates/orpheus-pattern/src/cycle.rs               403                15    96.28%          26                 1    96.15%         196                 2    98.98%           0                 0         -
crates/orpheus-pattern/src/lib.rs                  35                 0   100.00%           4                 0   100.00%          24                 0   100.00%           0                 0         -
crates/orpheus-pattern/src/rational.rs            327                18    94.50%          30                 4    86.67%         224                 8    96.43%           0                 0         -
crates/orpheus-pattern/src/stream.rs              304                 2    99.34%          14                 1    92.86%         147                 1    99.32%           0                 0         -
crates/orpheus-pattern/src/time.rs                 30                 1    96.67%           7                 0   100.00%          27                 0   100.00%           0                 0         -
src/main.rs                                       144                86    40.28%          12                 8    33.33%         101                57    43.56%           0                 0         -
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                           23744              2815    88.14%        1695               331    80.47%       14716              1856    87.39%           0                 0         -
